"标准店名","出现写法","评论提及数","涉及视频数","涉及城市","涉及区县或县级市","有效推荐语境数","戏谑或比较语境数","负面语境数","仅提及语境数","推荐判定","语义判定依据","精筛结论","类别","平台匹配状态","高德链接","点评链接","精筛阶段","证据BV号","证据评论ID","证据摘录","备注"
"傻大姐","傻大姐","1","1","无锡市","无锡市","0","0","0","1","未发现明确推荐","只有店名提及，缺少推荐语义","待歧义消解","餐厅","待平台核验","","","D-歧义待解","BV1GgXNBiESt","296878214320","回复： 建议早点去[笑哭]，点单改的自助。能活多久属于鬼知道了。 我这几年认为好吃又有性价比的店，就活了一家（傻大姐）[笑哭][笑哭][笑哭]。","名称较泛"
"山明湖鲜馆","山明湖鲜馆","1","1","","","0","0","0","1","未发现明确推荐","只有店名提及，缺少推荐语义","保留候选","湖鲜","待平台核验","","","N-待平台核验","BV1nd4y1u7P8","130332985904","来了无锡，怎么能不吃湖鲜呢？以前有18鲜，现在只有13鲜了，推荐山明湖鲜馆",""
"上马墩饭店","上马墩饭店","1","1","无锡市","无锡市","0","0","0","1","未发现明确推荐","只有店名提及，缺少推荐语义","保留候选","家常菜／包子","待平台核验","","","N-待平台核验","BV1Ue4y1r7QE","134268974352","建议楼主去无锡南禅寺朝阳菜场那边，有两家卖包子的挺不错，一家叫人可包子铺，另一家叫上马墩饭店不，不只是卖包子。圆圆包子店个人感觉还行但谈不上无锡最好[吃瓜]",""
"上马墩面馆","上马墩面馆","1","1","无锡市","无锡市","0","0","0","1","未发现明确推荐","只有店名提及，缺少推荐语义","保留候选","面馆","待平台核验","","","N-待平台核验","BV1vieoz9Eb9","274144400704","那大概只是你不习惯这里口味或者吃的少，论种类，本帮菜和点心都不少，论口味，高端点的太湖边上的店，向阳路上的私房菜都有蛮多不错的，老小区边上都不缺好吃的，好吃的店@用户，哪家面店的浇头烧的好，面用的好，汤头熬的好，都要自己去发现，拿包子举例，…",""
"太湖度假村","太湖度假村","1","1","无锡市","无锡市","0","0","0","1","未发现明确推荐","只有店名提及，缺少推荐语义","保留候选","酒店餐饮","待平台核验","","","N-待平台核验","BV1vieoz9Eb9","274094694896","好吃的地方多了，随便说几个不会踩雷的，香满楼，和团团，三凤桥，太湖度假村，湖滨饭店，海景壹号，荣巷步行街里有几家无锡菜也不错。",""
"武代","武代","1","1","","","0","0","0","1","未发现明确推荐","只有店名提及，缺少推荐语义","待歧义消解","日料","待平台核验","","","D-歧义待解","BV1PtMF6YECD","308004048944","你就说武代是不是武汉的吧[doge]","名称过短"
"锡品记","锡品记","1","1","无锡市","无锡市","0","0","0","1","未发现明确推荐","只有店名提及，缺少推荐语义","保留候选","无锡小吃","待平台核验","","","N-待平台核验","BV1Nj41177WC","195671072800","作为一个无锡土著，坐标梁溪区，小笼包 作为最最便宜的平民B级美食，有以下搭配方法：早上 拌面加姜丝，豪华一点加两个小笼包 ，中午15个开洋拌馄饨豪华点 加两个小笼包，晚上一碗酸辣汤豪华点再加两个小笼包。卖这三个组合的店铺比较有名的是王兴记 …",""
"香满楼","香满楼","1","1","无锡市","无锡市","0","0","0","1","未发现明确推荐","只有店名提及，缺少推荐语义","待歧义消解","餐厅","待平台核验","","","D-歧义待解","BV1vieoz9Eb9","274094694896","好吃的地方多了，随便说几个不会踩雷的，香满楼，和团团，三凤桥，太湖度假村，湖滨饭店，海景壹号，荣巷步行街里有几家无锡菜也不错。","同名店较多"
"小红糕点","小红糕点","1","1","","","0","0","0","1","未发现明确推荐","只有店名提及，缺少推荐语义","保留候选","糕点","待平台核验","","","N-待平台核验","BV1nd4y1u7P8","130192600128","厉害了竟然会找到稻香路上的这家面店，这家店也开了很多年了，价格便宜味道不错就是环境不算好，要是来稻香只吃了这碗面就亏了，里面稻香菜场有很多好吃的，鸭血小馄饨，酒酿，小红糕点，卤汁豆腐干，祝琴小吃店里的馄饨砂锅米线等。",""
"小敏糕团","小敏糕团","1","1","无锡市","无锡市","0","0","0","1","未发现明确推荐","只有店名提及，缺少推荐语义","保留候选","糕团／小吃","待平台核验","","","N-待平台核验","BV1vieoz9Eb9","274032700672","回复：说实话无锡的特产都只适合现买现吃，能带走的干的不多，小吃类：有梅花糕，玉兰饼，小笼包（喜欢甜口买熙盛源，喜欢咸口买超王记），点心类：惠山油酥，油酥饼，惠山古镇的阗福斋糕团，阳山小敏糕团，熟食类：三凤桥的鸡翅，元宝虾，酱排骨，然后还有清…",""
"小团圆酸菜鱼","小团圆酸菜鱼","1","1","无锡市","无锡市","0","0","0","1","未发现明确推荐","只有店名提及，缺少推荐语义","保留候选","酸菜鱼","待平台核验","","","N-待平台核验","BV15KSbYKEZS","245796908993","试试小团圆酸菜鱼，老牛窝里",""
"印象陕锡","印象陕锡","1","1","无锡市","无锡市","0","0","0","1","未发现明确推荐","只有店名提及，缺少推荐语义","保留候选","西北菜","待平台核验","","","N-待平台核验","BV11C4zz6E8e","278251178801","推荐印象陕锡的热米皮并评价肉夹馍尚可",""
"樱之亭","樱之亭","1","1","","","0","0","0","1","未发现明确推荐","只有店名提及，缺少推荐语义","保留候选","日料","待平台核验","","","N-待平台核验","BV1PtMF6YECD","305465396513","无锡万象汇的韩舍牛肉 肉质不错，就是品类少了些，最近出的东盛，工作日118性价比极高 品类巨多 肉也很好可惜排队100桌+，再往上建议去吃日料了，新地假日广场的樱之亭 176能点法罗三文鱼鱼腩","新地假日广场线索"
"炙焰铁板烧","炙焰铁板烧","1","1","无锡市","无锡市","0","0","0","1","未发现明确推荐","只有店名提及，缺少推荐语义","保留候选","铁板烧","待平台核验","","","N-待平台核验","BV15KSbYKEZS","245589159041","推荐鸡鸭鹅大酒店、活泼鲜跳（其实我感觉一般，但是朋友都说好吃，而且每次去都要预约，人超多）、炙焰铁板烧、邵氏光头鸡（东北塘店）[呲牙]只是自己觉得好吃的一些店的推荐，好奇大佬是什么评价",""
